,wage_total,hh,bs_profit,other_inc,
89,,H03410-04-02,57.98468431205038,0.0,0.0
90,376.90044802832745,H03503-04-01,-61.85032993285374,0.0,0.0
91,445.3223755165469,H03511-04-01,59.53094256037172,0.0,0.0
92,,H03512-04-01,96.64114052008397,0.0,0.0
93,481.2728797900182,H03515-04-01,0.0,0.0,0.0
94,,H03601-04-01,25.126696535221832,0.0,0.0
95,,H03602-04-04,27.05951934562351,520000.0,201.01357228177466
96,27.05951934562351,H03603-04-05,0.0,0.0,0.0
97,92.7754948992806,H03604-04-04,0.0,0.0,0.0
98,,H03604-04-08,30.92516496642687,0.0,0.0
99,394.29585332194256,H03604-04-09,0.0,0.0,0.0
100,,H03605-04-02,114.03654581369908,0.0,0.0
101,,H03607-04-01,30.92516496642687,120000.0,46.3877474496403
102,,H03608-04-01,0.0,180000.0,69.58162117446045
103,408.21217755683466,H03704-04-01,0.0,0.0,0.0
104,270.5951934562351,H03705-04-01,216.47615476498808,0.0,0.0
105,,H03706-04-01,0.0,0.0,0.0
106,,H03707-04-01,92.7754948992806,0.0,0.0
107,394.29585332194256,H03707-04-02,0.0,0.0,0.0
108,,H03709-04-01,17.395405293615113,0.0,0.0
109,,H03711-04-02,127.56630548651084,0.0,0.0
110,,H03711-04-03,139.1632423489209,0.0,0.0
111,,H03711-04-04,81.9516871610312,0.0,0.0
112,400.0943217531476,H03804-04-01,376.12731890416677,0.0,0.0
113,,H03807-04-01,0.0,960000.0,371.1019795971224
114,5682.499062580937,H03809-04-01,57.98468431205038,0.0,0.0
115,,H03810-04-01,42.522101828836945,0.0,0.0
116,1290.7390727862414,H03811-04-01,52.18621588084534,0.0,0.0
117,1252.4691811402881,H03813-04-01,664.8910467781777,0.0,0.0
118,1113.3059387913672,H03901-04-01,0.0,0.0,0.0
119,,H03902-04-01,0.0,0.0,0.0
120,92.7754948992806,H03903-04-01,133.7513384797962,0.0,0.0
121,,H03906-04-01,0.0,0.0,0.0
122,,H03907-04-01,126.79317636235017,12000000.0,4638.77474496403
123,,H03908-04-01,97.41426964424464,0.0,0.0
124,,H03909-04-01,30.92516496642687,720000.0,278.3264846978418
125,,H03909-04-02,0.0,0.0,0.0
126,185.5509897985612,H03910-04-01,0.0,0.0,0.0
127,180.91221505359718,H04001-04-01,28.99234215602519,240000.0,92.7754948992806
128,,H04002-04-01,0.0,0.0,0.0
129,1078.515128204137,H04003-04-01,0.0,0.0,0.0
130,1020.5304438920867,H04003-04-03,50.253393070443664,0.0,0.0
131,1565.5864764253602,H04004-04-01,46.3877474496403,0.0,0.0
132,371.1019795971224,H04005-04-01,0.0,0.0,0.0
133,1461.2140446636695,H04006-04-01,15.462582483213435,0.0,0.0
134,,H04007-04-01,0.0,0.0,0.0
135,139.1632423489209,H04009-04-01,0.0,0.0,0.0
136,,H04010-04-01,42.522101828836945,0.0,0.0
137,1739.5405293615113,H04010-04-02,0.0,0.0,0.0
138,834.9794540935254,H04011-04-01,0.0,0.0,0.0
139,939.3518858552162,H04011-04-02,0.0,0.0,0.0
140,,H04201-04-01,0.0,0.0,0.0
