,farm_asset,hh_asset,wtotal
count,2458.0,2466.0,2466.0
mean,17.318692393288917,2370.923232064003,2388.1857405403603
std,27.662029319481338,6283.063903201739,6289.9981385904475
min,0.0,0.0,4.209318656663495
25%,4.712134802438259,169.14123541763493,182.87378919737677
50%,8.070540563292223,494.5514322128107,506.12334021425704
75%,15.281820785330407,1718.8707062626213,1748.259643175565
max,348.22397639779996,70690.93149229743,70699.5331434654
