,hh,ctotal,inctotal,wtotal,sex,region,urban,classeduc
82,H04810-04-01,770.5190952839966,94664.93473586447,1725.9830493016364,2.0,1.0,0.0,12.0
83,H04903-04-01,1742.3174700769703,1374170.2998348568,138.32840797686734,1.0,1.0,0.0,15.0
84,H04905-04-01,2170.405569591661,89241.34509290948,3005.631766990772,1.0,1.0,0.0,
85,H04907-04-01,2367.1311946563874,33482.15999427959,1793.889512417686,1.0,1.0,0.0,16.0
86,H04908-04-01,2514.8761538886724,1331.500668379844,1300.4330280252727,1.0,1.0,0.0,13.0
87,H04909-04-01,1633.7358181194816,273426.7408425001,3766.724708501538,1.0,1.0,0.0,15.0
88,H04910-04-01,4102.705029059084,-1983.274187143465,19536.553430748132,1.0,1.0,0.0,14.0
89,H04912-04-01,1289.9051535231847,-5106.447135834505,1096.5274127521204,1.0,1.0,0.0,17.0
90,H04913-04-01,1300.420293244814,-4531.65957238185,176.45268710953664,2.0,1.0,0.0,13.0
91,H04913-04-02,1068.0789182997669,-22878.621340731457,248.4741920522047,1.0,1.0,0.0,13.0
92,H04913-04-03,1217.739605570631,-16702.26233813734,361.18784728748017,1.0,1.0,0.0,16.0
93,H04913-04-05,879.6706613697472,-51753.695565785514,1512.0914962713155,1.0,1.0,0.0,
94,H04913-04-06,1730.5327207624273,462.4500833828272,1508.1303134994685,1.0,1.0,0.0,15.0
95,H05002-04-01,621.4291550362408,754055.0785955774,278.44743372736144,2.0,1.0,0.0,
96,H05003-04-01,1281.6018414508053,687623.0275522391,1181.0502428872414,1.0,1.0,0.0,12.0
97,H05004-04-01,1598.9208226893402,665.1470514683983,2044.414661783071,2.0,1.0,0.0,16.0
98,H05005-04-01,1469.183296074669,1369230.4682310065,825.1507611240895,2.0,1.0,0.0,
99,H05006-04-01,1176.176519407315,557.1608554507421,374.7210889180636,2.0,1.0,0.0,16.0
100,H05007-04-01,1682.4142332441272,175.9168218367489,1276.9796227645559,1.0,1.0,0.0,34.0
101,H05008-04-01,853.4229802928647,-2546.645449158897,403.34360678817274,2.0,1.0,0.0,15.0
102,H05009-04-01,1444.920235031609,414.17420234930086,4924.497114619764,2.0,1.0,0.0,34.0
103,H05010-04-01,1051.0389668380772,411972.82468333753,342.87252623682946,1.0,1.0,0.0,17.0
104,H05101-04-01,2646.1681713664634,-303848.6796821189,1652.9081660442696,2.0,1.0,0.0,17.0
105,H05102-04-01,1769.066269376058,44270.03907709679,3434.23957676592,1.0,1.0,0.0,14.0
106,H05103-04-01,919.2434846960562,75.50276706245411,1203.967918850447,1.0,1.0,0.0,14.0
107,H05104-04-01,733.5276003567038,226.89170231906837,44.01021306359688,2.0,1.0,0.0,15.0
108,H05105-04-01,3371.687355903398,375.89050829727825,559.8676284811668,1.0,1.0,0.0,34.0
109,H05106-04-01,2392.945388863542,-1716.0072813767706,657.5005424886218,2.0,1.0,0.0,34.0
110,H05107-04-01,654.0802297606787,166.04284129624116,428.2668171052062,1.0,1.0,0.0,17.0
111,H05108-04-01,2342.0409473061763,420933.35308782966,3419.221138774531,1.0,1.0,0.0,14.0
112,H05109-04-01,524.3994365437751,76.95703637871803,339.4842314011533,2.0,1.0,0.0,15.0
113,H05302-04-01,1832.9369230868808,83862.76387025783,1569.8933749741743,1.0,1.0,0.0,17.0
114,H05303-04-01,1917.4528514777269,736.5929666952434,708.3620859964582,1.0,1.0,0.0,16.0
115,H05304-04-01,1370.3601384637761,-27930.09954641153,182.76284398067233,1.0,1.0,0.0,16.0
116,H05305-04-01,1910.5579832414312,-39357.06556336062,978.8286703312685,1.0,1.0,0.0,17.0
117,H05305-04-02,3191.1620609755687,-8225.053973826698,391.89265952377355,1.0,1.0,1.0,17.0
118,H05305-04-03,2247.1883599014836,586.7574006272079,1103.4397003180907,1.0,1.0,0.0,
119,H05306-04-01,805.2115915394769,120.06603489678292,56.57437307264985,2.0,1.0,0.0,
120,H05306-04-02,523.2128997799213,726786.260051348,14.189071060021506,1.0,1.0,0.0,14.0
121,H05308-04-01,2299.9392721290246,379403.72594206355,72.5825558070331,1.0,1.0,0.0,15.0
122,H05309-04-01,2718.2541723907966,415.1895042604403,4750.389177932414,1.0,1.0,0.0,17.0
123,H05310-04-01,621.9906636977634,223.75073594649297,7724.857725177094,1.0,1.0,0.0,14.0
124,H05310-04-02,2120.429332103008,44046.67924135084,20.73787308772374,2.0,1.0,0.0,16.0
125,H05403-04-01,2468.5233628251835,137478.21889580312,4587.466384858169,2.0,1.0,0.0,17.0
126,H05404-04-01,1614.8290455220367,201290.72420353018,4864.488183418701,2.0,1.0,0.0,34.0
127,H05405-04-01,556.8904614541009,215.87504583478756,1113.5619333441223,2.0,1.0,0.0,
128,H05407-04-01,2240.877104786173,256.21650383354154,1971.228590280824,2.0,1.0,0.0,
129,H05407-04-02,1518.3573672013274,-90907.78772918035,2359.4245019218047,1.0,1.0,0.0,17.0
130,H05409-04-01,1547.6701197129935,71950.58255821228,3283.820517860949,1.0,1.0,0.0,34.0
131,H05410-04-01,1229.4791108762859,-55946.21002707728,353.6255892685,1.0,1.0,0.0,33.0
132,H05412-04-01,1113.7405524334183,549108.2341440934,695.5476839838166,1.0,1.0,0.0,16.0
133,H05412-04-02,2561.8409415631727,-14233.234771740961,887.84510218074,1.0,1.0,0.0,36.0
134,H05412-04-03,1295.402104381065,-36743.99478492674,74.66921302325238,2.0,4.0,1.0,17.0
135,H05701-04-01,1218.835046433564,-4237.525365017272,2136.1253500023013,2.0,1.0,0.0,41.0
136,H05702-04-01,2173.6900478968973,-39238.92419805562,2396.5837045449134,1.0,1.0,0.0,14.0
137,H05703-04-01,1493.3434784113629,503936.9614634814,1927.024980862457,2.0,1.0,0.0,15.0
138,H05704-04-01,2311.6962915291947,2840.9455718204354,1264.8738119196175,1.0,1.0,0.0,41.0
139,H05705-04-01,666.2964920503483,126.3039599467165,64.56432450633777,2.0,1.0,0.0,16.0
140,H05706-04-01,2470.866090346171,1624.072838755636,6896.03278352757,1.0,1.0,0.0,35.0
141,H05707-04-01,1352.4173656959274,-1750.41823733575,420.4010273922908,2.0,1.0,0.0,
142,H05709-04-01,1579.9798958480144,75708.05481051066,635.5153193306838,2.0,1.0,0.0,15.0
143,H05710-04-01,4257.734249371482,-28247.563993528398,5158.193211852685,1.0,1.0,0.0,16.0
144,H05711-04-01,1279.4750575665635,74974.52284821204,242.41305995087941,2.0,1.0,0.0,32.0
145,H05901-04-01,2921.5927424652846,336.4977602108456,7097.548705133348,2.0,1.0,1.0,33.0
146,H05910-04-01,3380.92819350174,-456046.27965226234,44319.74536714461,2.0,1.0,1.0,13.0
147,H06001-04-01,3865.3371532634956,267095.80902699823,5468.019119329977,1.0,1.0,0.0,51.0
148,H06005-04-01,3909.4770096290817,-12422.4276437428,14647.671033379323,1.0,1.0,1.0,36.0
149,H06006-04-01,1904.6556945822044,-23958.74614837501,4595.140651796691,1.0,1.0,1.0,15.0
150,H06008-04-01,1236.9725059151012,-3200.0458902392857,1453.1453099881192,1.0,1.0,0.0,34.0
151,H06009-04-01,3811.5876652942534,-97851.69723598546,8714.46616419353,1.0,1.0,1.0,36.0
152,H06010-04-01,1279.8883067238069,732983.0964693645,1748.5644836124732,2.0,1.0,1.0,41.0
153,H06101-04-01,3472.184901044173,-3398.536464782219,228.94566773138612,1.0,1.0,0.0,11.0
154,H06102-04-01,2169.43800826675,-7889.692911456368,9410.933231663836,1.0,1.0,0.0,32.0
155,H06103-04-01,1543.462072559387,265.92327591340086,974.3930400981475,2.0,1.0,0.0,11.0
156,H06104-04-01,1035.3067621627881,546.0201139354502,1136.7119031112595,1.0,1.0,0.0,12.0
168,H06108-04-01,973.2181879020985,-4623.663295436105,312.8043971980489,2.0,1.0,0.0,
169,H06109-04-01,2222.1962146955757,-4890.723438540659,1238.3676428979095,1.0,1.0,0.0,41.0
170,H06110-04-01,3263.4795754055854,-8833.51288941391,1368.331452246494,1.0,1.0,0.0,15.0
171,H06201-04-01,3407.0591234743592,-66139.77955794195,476.2020497668875,2.0,1.0,0.0,
172,H06207-04-01,1867.1073450122153,1596410.3996305414,29564.42410585801,1.0,1.0,0.0,
173,H06208-04-01,2012.958959701569,185626.71436571883,1300.9140121965133,1.0,1.0,0.0,13.0
174,H06209-04-01,736.1587446696218,-20.63793451021466,57.206906186209046,1.0,4.0,0.0,11.0
175,H06301-04-01,2116.972115956269,1242.765776531718,65.33188661704288,2.0,1.0,0.0,15.0
176,H06302-04-01,1889.0039797495374,275672.6651734976,37.59320850030961,1.0,1.0,0.0,15.0
177,H06303-04-01,2073.6431703092976,881407.798462513,1988.1536439423508,2.0,1.0,0.0,15.0
178,H06305-04-01,1120.8615854801046,542.6851513313339,159.13241656441735,2.0,1.0,1.0,13.0
179,H06306-04-01,1913.6038074477979,115783.47955019883,300.38068539567763,1.0,1.0,1.0,14.0
180,H06307-04-01,3171.2509056355584,480085.47659944487,1694.6660113009789,2.0,1.0,0.0,
181,H06310-04-01,4681.469842778365,803457.6248748999,19625.13988182761,1.0,1.0,1.0,17.0
182,H06310-04-02,1366.852929403931,198439.0970449727,537.2804268723036,1.0,1.0,1.0,16.0
183,H06401-04-01,545.2016993256774,158.18259479372037,310.34896893387366,1.0,1.0,0.0,13.0
184,H06402-04-01,928.699113183209,260.80074111196444,640.874289275978,1.0,1.0,0.0,14.0
185,H06403-04-01,440.5047776546046,251.04272388543842,370.14433765281143,2.0,1.0,0.0,
186,H06404-04-01,910.9439239439658,-1931.227426627199,1030.8281355841434,1.0,1.0,0.0,16.0
187,H06405-04-01,1570.2251360782188,705.4001654426493,1634.650228587687,1.0,1.0,0.0,13.0
188,H06406-04-01,2226.5887728617486,1057.1185333328317,655.3645780146162,1.0,1.0,0.0,17.0
189,H06408-04-01,1266.8812259234699,1515.251483477012,1819.189900352095,2.0,1.0,0.0,
190,H06409-04-01,1765.8299084770213,1388738.542235729,1978.6147055450162,1.0,1.0,0.0,33.0
191,H06410-04-01,1788.83367032221,365885.40222985327,1307.4289960113497,1.0,1.0,0.0,15.0
192,H06411-04-01,2775.7387315096194,-2286.280660704662,3918.101176938801,1.0,1.0,0.0,16.0
193,H06602-04-01,1325.086420618777,-8991.49122852681,377.7884092920097,2.0,1.0,0.0,33.0
194,H06603-04-01,5490.671738235048,1412899.6862397876,7463.248575401335,1.0,1.0,0.0,17.0
195,H06604-04-01,1476.8626386958585,409727.8555216309,428.45391024662337,2.0,1.0,0.0,
196,H06605-04-01,1410.4100613568366,578445.9148048484,148.32508975118748,1.0,1.0,0.0,
197,H06606-04-01,1485.4098784916907,-2070.5904278811277,1966.047628340393,1.0,1.0,0.0,33.0
198,H06607-04-01,2829.9631735812654,892110.1503696106,2634.8082983787453,2.0,1.0,0.0,
199,H06608-04-01,3047.8087902170646,-14300.806646998713,2403.188749243511,2.0,1.0,0.0,17.0
200,H06609-04-01,2467.5637600829755,433784.917388958,4721.196600135255,1.0,1.0,0.0,61.0
201,H06701-04-01,1354.5833171967197,564765.7762905351,2427.058795933423,2.0,1.0,0.0,14.0
202,H06702-04-01,6117.065164205276,-328443.3072928904,15082.99130788319,1.0,1.0,0.0,15.0
203,H06703-04-01,2495.202719255013,349.6405402976224,5187.3788506099145,2.0,1.0,0.0,16.0
204,H06704-04-01,1310.997401479013,482815.67949528317,467.32978914352884,2.0,1.0,0.0,14.0
205,H06706-04-01,1168.6708655807572,295.8157494469775,390.8090853499751,1.0,1.0,0.0,
206,H06707-04-01,1893.5097495736686,390.5173538416449,2309.4577557557677,1.0,1.0,0.0,21.0
207,H06708-04-01,459.7986668116713,21.829340092340775,199.1927283426096,1.0,1.0,0.0,
208,H06709-04-01,1126.628187637377,64588.24819844775,643.6430592362806,2.0,1.0,0.0,32.0
209,H06710-04-01,795.9574689332164,-7412.607562203118,114.3170753357367,2.0,1.0,0.0,17.0
210,H06801-04-01,2173.1794374033343,212.3225486997937,1851.1917816851485,2.0,1.0,1.0,15.0
211,H06802-04-01,2691.933871060612,2716.680478613131,19192.525050331024,1.0,1.0,1.0,35.0
212,H06803-04-01,1095.823778653685,-3593.0201749645853,786.1725350453095,2.0,1.0,0.0,
213,H06806-04-01,1764.4719143096772,-280394.11496988015,789.4573785065016,2.0,1.0,1.0,13.0
214,H06807-04-01,2237.3940985792606,726724.4431141927,148.613482230745,2.0,1.0,0.0,16.0
215,H06810-04-01,2272.819689059495,323.1379525492845,1147.87029838324,2.0,1.0,0.0,16.0
216,H06810-04-02,2436.039910820062,699.5499962605621,18527.977051550646,1.0,1.0,0.0,16.0
217,H06902-04-01,3669.632296985839,89290.63094710176,11134.447018561632,2.0,1.0,1.0,
218,H06903-04-01,2423.630354534999,23758.140322022293,2642.1150271118927,1.0,1.0,1.0,33.0
219,H06908-04-01,1454.015961317332,388042.81721983035,3679.6990948989105,2.0,1.0,1.0,13.0
220,H06909-04-01,1538.9320942765378,1119.5490295254485,632.3232180081379,1.0,1.0,1.0,51.0
221,H06911-04-01,3055.3072037909897,209532.21132304377,3918.3665465751697,2.0,1.0,1.0,11.0
222,H06914-04-01,1453.795349846257,-4470.150065658216,464.85332055953603,2.0,1.0,0.0,16.0
223,H07003-04-01,2116.7531263921896,465.1088943518258,5779.134596057302,1.0,1.0,1.0,15.0
224,H07007-04-01,2980.1194827755135,-371189.3199228241,6666.4073131859695,1.0,1.0,1.0,17.0
225,H07008-04-01,1012.6943809988552,75254.17449502501,1006.1404240490722,2.0,1.0,1.0,12.0
226,H07009-04-01,3003.095137873518,152174.13422478526,51975.34812122901,1.0,1.0,1.0,17.0
227,H07010-04-01,5080.504990913216,-300847.2487248086,2059.094826310879,1.0,1.0,1.0,41.0
228,H07201-04-01,1115.767122997583,132.03063919079062,2389.898865133847,2.0,1.0,0.0,17.0
229,H07202-04-02,1021.7586452554973,109.01026708612675,1149.6785781966144,2.0,1.0,0.0,13.0
230,H07203-04-01,1871.949160898499,-31090.3216583919,1520.6971571278084,1.0,1.0,0.0,16.0
231,H07204-04-01,749.4740098370335,391573.63102634484,1505.3149105343327,2.0,1.0,0.0,12.0
232,H07205-04-01,682.5307002205217,127.28584236919872,1289.2044436201593,2.0,1.0,0.0,15.0
233,H07206-04-01,2510.3136939914584,467.9789654680554,7142.821506276639,1.0,1.0,0.0,16.0
234,H07207-04-01,1600.673093490099,1456004.4082581077,347.75283109268344,1.0,1.0,0.0,17.0
244,H07209-04-01,889.5113391165339,1708278.4333468052,1188.9972316197975,2.0,1.0,0.0,
245,H07210-04-01,2288.9639666486473,-8478.029673773466,2693.641483162933,1.0,1.0,0.0,33.0
246,H07302-04-01,1353.2829153629552,1170.9183954268312,664.7190682129777,1.0,1.0,0.0,
247,H07303-04-01,1466.637326001923,633.7819960536907,419.66810929119555,1.0,1.0,0.0,
248,H07304-04-01,1004.8556686804571,246.8790584899598,245.78464442753588,1.0,1.0,0.0,21.0
249,H07306-04-01,711.2347292777712,-872.036581705033,293.4742023015354,2.0,1.0,0.0,16.0
250,H07307-04-01,1728.1940069771401,1232122.2162699061,197.27909683690186,2.0,1.0,0.0,11.0
251,H07309-04-01,2017.4153544800965,336271.72988986585,7046.721982956494,1.0,1.0,0.0,34.0
252,H07310-04-01,3431.8840238065713,-40907.24804271825,843.8346015443278,1.0,1.0,0.0,34.0
253,H07311-04-01,479.1843745125115,37.526706427831336,109.5590556234455,1.0,1.0,0.0,14.0
254,H07408-04-01,2194.4544167766253,-46355.12255940215,2084.07432760569,2.0,1.0,0.0,16.0
255,H07408-04-02,1887.0083045308781,-124698.49248189417,2233.6075635898765,1.0,1.0,0.0,17.0
256,H07408-04-03,1304.6233052533366,-164228.5388996351,319.65438127054335,2.0,1.0,0.0,15.0
257,H07502-04-02,1526.6038295172623,146496.148769686,114.15408533412884,1.0,1.0,0.0,32.0
258,H07502-04-06,1200.8865734140468,-59412.32556052944,769.9098878371212,2.0,1.0,0.0,16.0
259,H07504-04-01,2317.395956706672,484926.03484026616,877.1005926128389,2.0,1.0,0.0,17.0
260,H07506-04-01,1758.533452698609,-9087.518449716768,507.02215085740085,2.0,1.0,0.0,12.0
261,H07508-04-01,1532.4478332214276,5290.904167769564,2400.0027517413682,2.0,1.0,0.0,
262,H07509-04-01,2065.727403007356,543915.0201474081,11808.247343002393,1.0,1.0,0.0,16.0
263,H07509-04-02,968.053724374758,-3991.16005406981,50.38359519530137,1.0,1.0,0.0,34.0
264,H07509-04-03,1875.1396738441226,634651.2080731547,79.7438197335705,1.0,1.0,0.0,16.0
265,H07510-04-01,3530.693865894623,-60665.463110751865,11584.964647748395,2.0,1.0,0.0,21.0
266,H08102-04-01,1324.0321195382191,31917.92709958659,1652.8451059496479,2.0,1.0,1.0,17.0
267,H08102-04-02,2183.022781446267,1432030.562985367,2910.4918694800094,2.0,1.0,1.0,41.0
268,H08103-04-01,1369.2726443987683,2650.345273943356,1798.7589236271301,1.0,1.0,1.0,34.0
269,H08107-04-01,2121.9724389804587,247.25171761532084,916.1673563155414,1.0,1.0,0.0,16.0
270,H08301-04-01,2524.657687750889,-321826.33874034166,653.318866170429,1.0,1.0,0.0,15.0
271,H08302-04-01,2868.9822790051808,93382.53917921442,8009.178323599941,1.0,1.0,0.0,17.0
272,H08302-04-02,4404.610098851808,203757.59113600105,9468.74376818963,2.0,1.0,0.0,
273,H08302-04-03,1883.8577249936695,101438.28765174716,5514.522206127938,2.0,1.0,0.0,
274,H08302-04-04,1813.6715697061986,-12045.285819111907,1089.838063902179,1.0,1.0,0.0,13.0
275,H08303-04-01,,738347.8421254476,651.4939531364333,1.0,1.0,0.0,16.0
276,H08304-04-01,1393.1021118915698,-771.898064640756,873.4033780702995,1.0,1.0,0.0,13.0
277,H08307-04-02,757.3061244721545,-5313.869071228449,317.97494432187926,1.0,1.0,0.0,13.0
278,H08307-04-03,1521.526313418805,15300.875097113401,1210.3213905615362,2.0,1.0,0.0,15.0
279,H08308-04-01,1186.1221649007998,-17431.932611834847,656.1159100277058,2.0,1.0,0.0,16.0
280,H08308-04-03,1498.5514533420937,-6958.534221974427,459.49720153422203,1.0,1.0,0.0,
281,H08309-04-01,2671.7097473532135,1126.2722942934424,130.35892394622914,2.0,1.0,1.0,17.0
282,H08310-04-01,954.9331340348355,59807.474908400945,122.43655840253567,1.0,1.0,0.0,
283,H08402-04-01,851.0510268355034,-4999.617624405882,780.1880623198467,2.0,1.0,0.0,31.0
284,H08404-04-01,1826.8808997628835,74723.30747799676,1487.9026382032262,1.0,1.0,0.0,13.0
285,H08405-04-01,1332.486431306877,-83337.8261042819,2572.5004332469325,1.0,1.0,0.0,17.0
286,H08406-04-01,1730.9071880619679,-2855.841170491369,1139.0691573532513,2.0,1.0,0.0,16.0
287,H08406-04-02,1715.1933923120857,1560.5175050027117,1518.8795661464999,1.0,1.0,1.0,15.0
288,H08406-04-04,1522.577857415739,1669.3360919812737,1691.434637309896,1.0,1.0,0.0,17.0
289,H08408-04-01,1343.8341318325522,454.9288679016378,175.69330045204146,1.0,1.0,0.0,13.0
290,H08409-04-01,1203.155375042865,162605.91307488404,883.0863556212903,1.0,1.0,0.0,
291,H08409-04-02,1888.0997493767754,539278.3750722974,492.7378445553193,1.0,1.0,0.0,32.0
292,H08410-04-01,2184.869333481392,1363956.193264673,2026.5003412924818,1.0,1.0,0.0,17.0
293,H08501-04-01,868.2998593776858,-2674.0425087715794,374.0868110405735,1.0,1.0,0.0,
294,H08502-04-01,1438.9752418210278,504.3137532326803,270.91532795705945,1.0,1.0,0.0,
