,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur
count,2446.0,2446.0,2446.0,2446.0,2444.0
mean,1571.5269408552938,1592.464433818021,152.9261171100524,1024.0033048052662,547.9716913986789
std,1047.1161752503035,1068.6554924291543,199.85864986041446,627.2227854791889,571.2455254559443
min,209.55086355998702,209.55086355998702,0.0,157.02571973090465,30.220559842967326
25%,871.0543104121133,880.2585977325714,37.425574032349864,591.5622661703983,229.28429517575248
50%,1299.7767446754524,1309.424040380933,96.38646784550633,875.7139064731318,380.1237818762885
75%,1951.2468929724691,1981.503773532003,197.29520636255225,1319.310093797171,651.8398006564587
max,9576.240440642001,9576.240440642001,2674.7238797761943,5686.240463588468,6196.039891810006
