,hh,farm_asset,hh_asset,wtotal
0,H00101-04-01,0.0,1553.98953956295,1553.98953956295
1,H00102-04-01,7.3447266795263815,94.70831770968229,102.05304438920867
2,H00104-04-01,4.252210182883695,771.19630135027,775.4485115331537
3,H00110-04-01,8.50442036576739,6853.7896856843545,6862.2941060501225
4,H00801-04-01,0.0,3834.7204558369317,3834.7204558369317
5,H01607-04-01,0.0,19745.717831063557,19745.717831063557
6,H02110-04-01,3.8656456208033587,31083.656436879806,31087.52208250061
7,H02113-04-01,4.252210182883695,4232.8819547796775,4237.134164962561
8,H02207-04-01,6.378315274325542,59405.309077695616,59411.68739296994
9,H02310-04-01,7.3447266795263815,15665.528878305611,15672.873604985138
10,H02710-04-01,,12389.394214674765,12389.394214674765
11,H02711-04-01,1.5462582483213434,1606.1757554437954,1607.722013692117
12,H03005-04-01,1.9328228104016794,15576.619029027133,15578.551851837536
13,H03408-04-01,8.890984927847725,231.93873724820153,240.82972217604924
14,H03601-04-01,5.798468431205038,1173.2234459138194,1179.0219143450245
15,H03602-04-04,11.596936862410075,1328.235835308034,1339.832772170444
16,H03603-04-05,8.50442036576739,398.16149894274594,406.6659193085133
17,H03604-04-04,7.731291241606717,1453.4827534220628,1461.2140446636695
18,H03604-04-08,27.05951934562351,2128.037914252249,2155.0974335978726
19,H03604-04-09,18.168534417775785,782.7932382126801,800.9617726304559
20,H03605-04-02,10.050678614088733,1015.5051045850423,1025.5557831991312
21,H03607-04-01,6.5715975553657096,1066.918191341727,1073.4897888970927
22,H03608-04-01,25.126696535221832,796.3229978854919,821.4496944207137
23,H03704-04-01,9.664114052008397,54.11903869124702,63.78315274325542
24,H03705-04-01,9.664114052008397,730.6070223318347,740.2711363838432
25,H03706-04-01,27.05951934562351,1410.960651593226,1438.0201709388493
26,H03707-04-01,88.90984927847725,3397.902500686152,3486.8123499646294
27,H03709-04-01,15.076017921133099,2017.8670140593533,2032.9430319804862
28,H03711-04-02,6.5715975553657096,429.0866639091728,435.6582614645385
29,H03711-04-03,3.8656456208033587,1285.3271689171168,1289.1928145379202
30,H03807-04-01,7.731291241606717,2789.063315409623,2796.79460665123
31,H03809-04-01,8.117855803687053,16558.493016711185,16566.610872514873
32,H03810-04-01,5.218621588084535,2499.139893849371,2504.358515437456
33,H03902-04-01,3.6723633397631907,709.3459714174163,713.0183347571796
34,H03903-04-01,13.916324234892091,289.9234215602519,303.839745795144
35,H03906-04-01,12.756630548651083,821.4496944207137,834.2063249693648
36,H03907-04-01,45.228053763399295,11670.38412920534,11715.61218296874
37,H03908-04-01,5.411903869124703,2512.669653522183,2518.081557391308
38,H03909-04-01,11.017090019289572,1016.6647982712833,1027.681888290573
39,H03909-04-02,31.852919915419676,5062.062940441998,5093.915860357418
40,H03910-04-01,21.261050914418473,2713.6832258039576,2734.9442767183764
41,H04001-04-01,28.21921303186452,2077.7845211818053,2106.0037342136698
42,H04002-04-01,8.50442036576739,1140.3654581369908,1148.8698785027582
43,H04003-04-01,26.86623706458334,3173.6950546795574,3200.561291744141
44,H04004-04-01,6.9581621174460455,1990.8074947137297,1997.7656568311756
45,H04005-04-01,10.43724317616907,506.39957632524,516.8368195014091
46,H04007-04-01,6.5715975553657096,498.6682850836333,505.23988263899895
47,H04010-04-01,25.126696535221832,597.2422484141189,622.3689449493407
48,H04011-04-01,88.13672015431658,6351.2557549799185,6439.392475134235
49,H04201-04-01,12.756630548651083,912.2923665095926,925.0489970582437
50,H04202-04-01,3.8656456208033587,1874.838126089629,1878.7037717104324
51,H04203-04-01,15.462582483213435,2769.7350873056066,2785.19766978882
52,H04204-04-01,19.328228104016794,2404.4315761396892,2423.7598042437057
53,H04205-04-01,10.050678614088733,1712.481010015888,1722.5316886299765
54,H04206-04-01,7.3447266795263815,297.65471280185864,304.999439481385
55,H04207-04-01,9.277549489928061,9115.19237385432,9124.469923344248
56,H04208-04-01,17.395405293615113,57.98468431205038,75.38008960566549
57,H04208-04-02,4.252210182883695,249.33414254181665,253.58635272470033
58,H04209-04-01,15.462582483213435,635.8987046221525,651.3612871053659
59,H04210-04-01,21.067768633378304,139.1632423489209,160.2310109822992
60,H04508-04-03,32.85798777682855,5960.825547278779,5993.6835350556075
61,H04509-04-01,25.513261097302166,4315.99333562695,4341.506596724252
62,H04602-04-01,11.017090019289572,276.39366188744015,287.41075190672973
63,H04603-04-01,3.4790810587230228,2744.6083907703846,2748.0874718291075
64,H04604-04-01,5.411903869124703,2748.474036391188,2753.8859402603125
65,H04606-04-01,9.664114052008397,1565.5864764253602,1575.2505904773686
66,H04606-04-02,20.87448635233814,3485.6526562783883,3506.5271426307268
67,H04607-04-01,6.9581621174460455,373.0348024075241,379.99296452497015
68,H04608-04-01,34.790810587230226,9043.677929869458,9078.468740456688
69,H04609-04-01,28.21921303186452,137.23041953851924,165.44963257038376
70,H04610-04-01,7.3447266795263815,431.0194867195745,438.3642133991009
71,H04610-04-02,2.3193873724820153,42.522101828836945,44.84148920131896
72,H04610-04-03,15.84914704529377,41.74897270467628,57.598119749970046
73,H04801-04-01,1.9328228104016794,118.86860283970329,120.80142565010496
74,H04802-04-01,9.664114052008397,85.04420365767389,94.70831770968229
75,H04802-04-02,7.731291241606717,100.50678614088733,108.23807738249404
76,H04803-04-02,17.78196985569545,10247.826540749704,10265.6085106054
77,H04804-04-01,88.52328471639692,15798.893652223327,15887.416936939724
78,H04805-04-01,5.798468431205038,1368.4385497643889,1374.237018195594
79,H04806-04-01,23.58043828690049,14150.195794950694,14173.776233237595
